,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,312,nishihara,26.18,127.76,82.4,83,40,3.36,JP,1595451488
313,313,mengcheng,33.26,116.57,70.45,96,91,7.54,CN,1595451626
314,314,sipe sipe,-17.45,-66.38,84.2,13,20,9.37,BO,1595451627
315,315,sitka,57.05,-135.33,59.0,77,90,4.7,US,1595451274
316,316,karratha,-20.74,116.85,68.29,46,0,5.44,AU,1595451279
317,317,plettenberg bay,-34.05,23.37,59.74,62,0,3.42,ZA,1595451627
318,318,livingston,55.9,-3.52,59.0,100,75,4.7,GB,1595451339
319,319,aklavik,68.22,-135.01,50.0,61,75,5.82,CA,1595451486
320,320,balapulang,-7.05,109.08,73.0,88,99,6.02,ID,1595451628
321,321,escanaba,45.75,-87.06,66.2,93,90,6.93,US,1595451629
322,322,roma,43.21,-75.46,73.99,88,90,5.82,US,1595451618
323,323,angoche,-16.23,39.91,69.42,75,27,9.8,MZ,1595451629
324,324,scarborough,54.28,-0.4,61.0,80,98,3.0,GB,1595451281
325,325,iqaluit,63.75,-68.51,48.2,87,90,2.24,CA,1595451167
326,326,marovoay,-16.1,46.63,69.8,56,20,8.05,MG,1595451631
327,327,sangmelima,2.93,11.98,67.53,98,98,2.57,CM,1595451631
328,328,aketi,2.74,23.78,70.63,94,97,0.98,CD,1595451632
329,329,tommot,58.96,126.29,56.64,83,0,2.44,RU,1595451282
330,330,ambilobe,-13.2,49.05,65.82,73,100,3.33,MG,1595451282
331,331,ust-kuyga,70.02,135.6,79.47,38,56,3.44,RU,1595451283
332,332,tavda,58.04,65.27,58.28,79,0,5.41,RU,1595451632
333,333,la macarena,2.18,-73.78,82.15,77,92,0.11,CO,1595451633
334,334,yarmouth,41.71,-70.23,82.4,61,1,6.93,US,1595451633
335,335,canmore,51.08,-115.35,70.0,68,75,8.05,CA,1595451633
336,336,yeniseysk,58.45,92.17,48.38,97,1,3.62,RU,1595451633
337,337,buncrana,55.13,-7.45,56.53,93,60,3.27,IE,1595451634
338,338,carnduff,49.17,-101.8,75.99,73,11,13.0,CA,1595451634
339,339,kahului,20.89,-156.47,89.6,49,40,16.11,US,1595451546
340,340,alice springs,-23.7,133.88,33.8,74,0,4.7,AU,1595451285
341,341,cisternino,40.74,17.42,82.0,68,5,2.24,IT,1595451635
342,342,comodoro rivadavia,-45.87,-67.5,39.2,80,40,3.36,AR,1595451522
343,343,tazovskiy,67.47,78.7,44.62,80,0,15.14,RU,1595451635
344,344,porto alegre,-30.03,-51.23,84.2,48,98,1.12,BR,1595451553
345,345,bandarbeyla,9.49,50.81,77.27,77,22,30.67,SO,1595451553
346,346,guerrero negro,27.98,-114.06,77.4,54,6,13.69,MX,1595451493
347,347,davila,18.47,120.58,82.08,81,63,5.59,PH,1595451636
348,348,taoudenni,22.68,-3.98,105.31,16,41,7.65,ML,1595451286
349,349,makakilo city,21.35,-158.09,82.4,69,1,10.29,US,1595451287
350,350,faro,37.02,-7.93,78.01,83,0,9.17,PT,1595451434
351,351,rabak,13.18,32.74,80.83,67,95,16.26,SD,1595451637
352,352,la campana,37.57,-5.43,84.2,54,0,8.05,ES,1595451637
353,353,hamilton,39.18,-84.53,77.0,83,40,8.05,US,1595451382
354,354,soyo,-6.13,12.37,71.78,82,69,7.14,AO,1595451288
355,355,mahon,39.89,4.27,75.2,64,20,4.7,ES,1595451638
356,356,fortuna,40.6,-124.16,62.6,77,20,14.99,US,1595451496
357,357,tamandare,-8.76,-35.1,74.73,77,8,9.57,BR,1595451639
358,358,astana,51.18,71.45,50.0,93,0,6.71,KZ,1595451639
359,359,katherine,-14.47,132.27,57.2,44,0,6.93,AU,1595451289
360,360,faratsiho,-19.4,46.95,43.97,90,48,6.51,MG,1595451639
361,361,mavrovi anovi,41.7,20.76,58.73,76,1,2.93,MK,1595451640
362,362,plouzane,48.38,-4.62,60.8,77,100,5.82,FR,1595451640
363,363,belaya gora,68.53,146.42,83.19,38,28,3.29,RU,1595451640
364,364,pirai do sul,-24.53,-49.95,72.0,69,91,1.01,BR,1595451640
365,365,tateyama,34.98,139.87,75.99,100,100,5.01,JP,1595451540
366,366,mumford,5.26,-0.76,74.52,93,100,10.45,GH,1595451641
367,367,port lincoln,-34.73,135.87,48.7,83,1,9.22,AU,1595451362
368,368,remanso,-9.62,-42.08,79.0,55,33,11.77,BR,1595451642
369,369,port hedland,-20.32,118.57,59.0,51,0,6.93,AU,1595451504
370,370,bengkulu,-3.8,102.27,74.23,88,90,3.65,ID,1595451642
371,371,komsomolskiy,40.43,71.72,77.0,36,0,6.93,UZ,1595451642
372,372,acajutla,13.59,-89.83,87.8,62,40,5.19,SV,1595451616
373,373,nanchang,28.68,115.88,81.68,71,100,6.73,CN,1595451641
374,374,mus,39.0,41.75,65.91,62,0,4.16,TR,1595451536
375,375,baruun-urt,46.68,113.28,70.41,47,81,9.69,MN,1595451643
376,376,kyren,51.68,102.14,59.59,83,100,0.29,RU,1595451292
377,377,sisimiut,66.94,-53.67,56.77,64,4,4.32,GL,1595451644
378,378,zhigansk,66.77,123.37,58.96,71,35,19.44,RU,1595451293
379,379,solginskiy,61.05,41.34,57.96,95,96,7.61,RU,1595451644
380,380,hambantota,6.12,81.12,79.74,84,94,10.2,LK,1595451645
381,381,opuwo,-18.06,13.84,58.33,34,0,8.75,,1595451645
382,382,inongo,-1.95,18.27,74.46,63,100,6.2,CD,1595451645
383,383,flinders,-34.58,150.86,46.99,87,10,1.99,AU,1595451549
384,384,kavaratti,10.57,72.64,81.79,81,71,12.35,IN,1595451294
385,385,yongchang,30.04,119.73,88.0,54,100,4.05,CN,1595451646
386,386,kidal,18.44,1.41,97.5,26,51,8.16,ML,1595451294
387,387,waingapu,-9.66,120.26,71.8,80,50,9.8,ID,1595451646
388,388,pahrump,36.21,-115.98,102.0,12,0,14.0,US,1595451647
389,389,fairbanks,64.84,-147.72,60.01,82,90,3.36,US,1595451161
390,390,iskateley,67.68,53.15,62.13,68,0,10.02,RU,1595451647
391,391,khasan,42.43,130.64,65.89,92,0,6.44,RU,1595451648
392,392,manaus,-3.1,-60.02,86.0,62,40,6.93,BR,1595451649
393,393,gornopravdinsk,60.05,69.9,49.46,83,0,4.83,RU,1595451541
394,394,bokoro,12.38,17.06,77.99,75,54,8.68,TD,1595451649
395,395,giresun,40.5,38.5,71.6,83,40,3.36,TR,1595451650
396,396,manado,1.49,124.85,75.2,94,40,2.24,ID,1595451534
397,397,morros,-9.45,-46.3,81.97,40,50,5.41,BR,1595451297
398,398,vidim,56.41,103.11,50.74,95,4,3.67,RU,1595451650
399,399,luanda,-8.84,13.23,69.8,88,0,3.36,AO,1595451297
400,400,durusu,41.31,28.68,77.0,78,0,12.75,TR,1595451651
401,401,bima,-8.47,118.72,72.23,89,44,4.23,ID,1595451651
402,402,bonnyville,54.27,-110.73,73.4,73,75,3.36,CA,1595451651
403,403,coahuayana,18.73,-103.68,77.0,83,75,9.17,MX,1595451651
404,404,ferkessedougou,9.6,-5.2,74.44,89,34,2.13,CI,1595451652
405,405,praya,14.92,-23.51,80.6,78,20,9.17,CV,1595451652
406,406,champerico,14.3,-91.92,85.39,66,31,6.91,GT,1595451603
407,407,ilulissat,69.22,-51.1,55.4,50,40,3.36,GL,1595451299
408,408,orcopampa,-15.27,-72.34,54.93,35,55,9.53,PE,1595451652
409,409,thongwa,16.76,96.53,78.8,88,40,3.36,MM,1595451653
410,410,alyangula,-13.85,136.42,59.0,93,0,11.01,AU,1595451299
411,411,whitehorse,60.72,-135.05,57.2,82,75,2.28,CA,1595451299
412,412,saldanha,-33.01,17.94,55.4,87,0,9.17,ZA,1595451577
413,413,siilinjarvi,63.08,27.67,55.4,93,75,12.75,FI,1595451654
414,414,agde,43.31,3.48,72.0,88,42,6.93,FR,1595451654
415,415,minggang,32.46,114.05,70.57,96,100,4.12,CN,1595451654
416,416,pevek,69.7,170.31,52.79,53,100,11.86,RU,1595451301
417,417,coquimbo,-29.95,-71.34,59.0,58,40,14.99,CL,1595451301
418,418,klaksvik,62.23,-6.59,50.0,87,100,4.7,FO,1595451301
419,419,okhotsk,59.38,143.3,56.86,69,23,3.56,RU,1595451504
420,420,iquique,-20.22,-70.14,62.6,63,90,8.05,CL,1595451367
421,421,jacareacanga,-6.22,-57.75,90.9,42,0,1.39,BR,1595451302
422,422,barddhaman,23.25,87.85,81.64,85,98,7.72,IN,1595451656
423,423,dudinka,69.41,86.18,51.8,87,0,22.37,RU,1595451656
424,424,nurlat,54.43,50.81,60.73,93,76,4.43,RU,1595451645
425,425,ventspils,57.39,21.56,59.0,72,2,5.82,LV,1595451391
426,426,berdigestyakh,62.1,126.7,59.63,82,0,4.54,RU,1595451303
427,427,ponta delgada,37.73,-25.67,69.8,64,40,5.82,PT,1595451657
428,428,youhao,47.87,128.83,62.6,75,48,0.6,CN,1595451657
429,429,pringsewu,-5.36,104.97,71.67,93,100,1.43,ID,1595451658
430,430,north bend,43.41,-124.22,77.0,77,1,19.46,US,1595451304
431,431,terrace,54.52,-128.6,60.8,72,90,6.93,CA,1595451179
432,432,sechura,-5.56,-80.82,74.03,56,7,16.98,PE,1595451534
433,433,caranan,13.52,123.02,78.76,85,0,3.33,PH,1595451658
